display  D   display_settings.c:214  debug_display_settings           [   0.04928] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04930] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04932] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04934] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04936] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04938] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04939] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04942] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04943] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04945] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04947] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04949] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04951] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04953] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04955] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04957] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04959] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04963] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04966] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04968] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04970] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04972] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04974] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04976] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04978] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04980] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04982] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04983] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04986] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04987] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04989] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04991] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04993] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04995] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
